period,oha,ohv,ogs
1,3808.7831493212907,536246.2,6386371.843879564
2,3999.222306787354,509433.8899999999,8433002.740992382
3,3999.2223067873542,509433.8899999998,10752873.189350434
4,3888.1497973329597,509433.8899999999,13158211.477646118
5,3618.3439918552244,509433.8899999999,15509821.725807749
6,3618.3439918552244,509433.8899999999,17702249.11539178
7,3618.3439918552262,509433.89000000013,19691655.602059398
8,3618.343991855225,510082.4881227329,21447171.654803414
9,3618.343991855224,516572.8570231462,22937251.566989858
10,3618.343991855225,513126.63815400476,24176513.16488848
