period,oha,ohv,ogs
1,5356.861391776443,689459.4,6206121.0203501545
2,5624.704461365265,654986.4299999992,8058465.986904003
3,5624.704461365265,654986.4299999996,10152054.458809825
4,5455.0325243547095,654986.4299999997,12295553.254611073
5,5089.0183221876205,654986.4299999996,14364071.732366046
6,5089.0183221876205,654986.4299999996,16267321.436362354
7,5089.018322187618,654986.4299999998,17961597.222820476
8,5089.0183221876205,654986.4299999998,19439199.46278529
9,5089.018322187619,659294.5398084671,20678374.866612956
10,5089.0183221876205,658013.187382755,21717119.593636997
