period,oha,ohv,ogs
1,5761.363109128192,1825552.8000000003,104435248.21812136
2,6049.431264584604,1734275.16,114049548.31895003
3,5930.873961127409,1734275.160000001,123819953.40338065
4,5774.315536099607,1734275.1600000001,133394244.27855068
5,5739.481467279117,1734275.1600000006,142467404.6238843
6,5724.47300873504,1734275.1600000001,150832472.90776432
7,5720.63444456311,1734275.1600000001,158313718.1039042
8,5706.917023937034,1734275.1600000004,164748880.3589949
9,5473.294953671786,1734275.1599999997,170093259.07640222
10,5473.294953671788,1734275.1600000008,174303309.25902492
