period,oha,ohv,ogs
1,32449.736691384667,6389435.8,99065974.10047428
2,34072.22352595393,6708907.590000008,102813766.5848312
3,34072.22352595394,6708907.590000006,106478572.84777851
4,34072.22352595396,6708907.590000011,109849343.948739
5,34072.22352595393,6708907.590000004,112766455.59728701
6,34072.223525953916,6708907.590000001,115261377.02437662
7,34072.22352595391,6708907.589999996,117466362.3415551
8,34072.22352595393,6708907.590000006,119431279.39399907
9,34072.223525953945,6708907.5900000045,121137321.77640255
10,30827.249856815433,6708907.590000005,122656238.9227639
