period,oha,ohv,ogs
1,13695.101992740008,1072860.0,16756621.537304057
2,13090.531766739847,1126502.9999999995,19315069.665971138
3,13715.381502511684,1126502.9999999998,22040366.05935778
4,13443.213061016486,1126502.9999999995,24855876.562077932
5,13010.346893103007,1126502.9999999998,27423978.062176943
6,13010.346893103011,1126503.0000000002,29733361.31418933
7,13010.346893103006,1126502.9999999993,31661154.180567704
8,14379.85709237701,1126502.9999999998,33232455.938136674
9,14379.857092377004,1126502.9999999995,34519212.2476916
10,14379.85709237701,1126503.0000000002,35619912.70869954
