period,oha,ohv,ogs,ocp,ocf
1,3195.3296075167145,523669.14909436234,17402728.42072246,52716369.33338113,-308016.45829087833
2,0.0,0.0,21387791.90869097,54104881.04471338,-646273.5631048835
3,0.0,0.0,25731307.675409425,56133334.83738717,-815424.5137898951
4,0.0,0.0,30312386.844362047,58540728.11753343,-897646.4919729248
5,0.0,0.0,34865589.365537375,60979770.31957332,-913251.5922154526
6,0.0,0.0,39224235.13145272,63492166.93374335,-939254.6855054265
7,0.0,0.0,43289863.5316567,65985589.59076338,-934233.6648240804
8,0.0,0.0,47004484.20282491,68427382.58805169,-906319.8320863731
9,0.0,0.0,50326969.76827704,70735894.32976109,-858218.6539669227
10,0.0,0.0,53324422.81096977,72832631.08965242,-769377.8559233244
