period,oha,ohv,ogs,ocp,ocf
1,56429.506606060095,11728004.168799456,92785305.43129843,176888361.50315562,-552994.1523828687
2,7596.834327988799,1408773.2593349868,102548356.40458854,179376504.25931734,-1334935.4768313356
3,0.0,0.0,114324885.44253838,183745992.9284538,-1777637.6368292575
4,0.0,0.0,126531734.39208332,188805026.7494589,-1905710.7461673326
5,0.0,0.0,138746407.61715826,193875727.82368407,-1882642.4375029558
6,0.0,0.0,150503717.5468558,198789878.30775872,-1828688.539930397
7,0.0,0.0,161446477.64085653,203524042.7051005,-1763392.5852724616
8,0.0,0.0,171239499.7274093,207970064.52818263,-1648802.1250680122
9,0.0,0.0,179689074.36427522,212026327.16532004,-1507041.6540547393
10,0.0,0.0,186737564.56589332,215711413.7013091,-1364281.8355709638
