period,oha,ohv,ogs,ocp,ocf
1,4616.187486883388,643715.9999999997,17261496.831421707,52625133.796452515,-287436.9388099738
2,4846.996861227558,611530.2000000002,20536461.912534207,53695787.0690396,-563547.1662232328
3,4846.996861227556,611530.1999999998,24128468.258142754,55283539.079288475,-709810.5441796201
4,4846.996861227557,611530.2,27917565.805882692,57211258.25226493,-789187.0038885132
5,4846.996861227557,611530.1999999997,31668759.078696113,59166959.305361465,-812133.8024043174
6,4846.996861227556,611530.2000000002,35254860.8458953,61220254.90275254,-847579.0569638509
7,4385.378112539217,611530.2,38604686.226483956,63342465.25455332,-863543.595374186
8,4385.378112539218,611530.2000000001,41662005.486277685,65454818.83134521,-857665.6283563836
9,4385.378112539216,611530.2,44434071.26394271,67464890.937897,-830265.3495457027
10,4385.378112539215,611530.2,47011528.58934325,69292668.16801883,-751171.1706388983
