period,oha,ohv,ogs
1,6044.284143221886,1072860.0,16756621.537304053
2,6346.498350382982,1019216.9999999997,19501717.867427982
3,6346.498350382982,1019217.0000000003,22532654.463843446
4,5939.891730912653,1019217.0000000001,25747262.440406773
5,5742.069936060798,1019217.0000000002,28899705.09466493
6,5742.0699360607905,1019216.9999999998,31829693.918365028
7,5742.0699360607905,1019216.9999999993,34464672.74297009
8,5742.069936060795,1019216.9999999995,36804272.31075122
9,5742.06993606079,1019216.9999999999,38869114.0443018
10,5742.069936060792,1019216.9999999998,40764481.9549276
