period,oha,ohv,ogs
1,4700.82466160224,858288.0,17009059.184362885
2,4935.8658946823525,815373.6000000003,20010351.682447597
3,4831.165687954302,815373.6000000002,23314357.497335374
4,4465.78342852213,815373.5999999999,26805105.929016452
5,4465.783428522131,815373.6000000001,30234646.944418743
6,4465.783428522125,815373.6000000001,33449424.221892726
7,4465.783428522129,815373.5999999994,36376002.51177017
8,4465.783428522126,815373.6000000001,39024610.14567868
9,4465.783428522126,815373.6,41363759.880919136
10,4465.783428522127,815373.5999999994,43485540.54214915
