theme0,theme1,theme2,theme3,theme4,age,area
04,1,6,100,6,46,1.6474221678503873
04,1,6,100,6,46,2.5214104030944133
04,1,6,100,6,46,8.70354205161041
04,1,6,100,6,46,0.23057342198858197
04,1,6,100,6,46,1.5510057930081724
04,1,6,100,6,46,2.5214104030944133
04,1,6,100,6,46,8.59505094743423
04,1,6,100,6,46,0.23057342198858197
04,0,6,100,6,82,2.603988362512784
04,0,6,100,6,82,2.603988362512784
04,0,22,304,22,118,1.1207315175643884
04,0,22,304,22,118,1.1207315175643884
04,1,13,204,13,76,0.7731240250016563
04,1,13,204,13,76,0.7174993000011891
04,1,13,204,13,79,0.45062362500233577
04,1,13,204,13,79,1.0574982000030577
04,1,13,204,13,79,0.45062362500233577
04,1,13,204,13,79,1.0574982000030577
04,1,13,204,13,48,1.9437697647996077
04,1,13,204,13,48,1.9402030817198757
04,1,22,304,22,98,0.29858280749684535
04,1,22,304,22,98,0.7906245250008069
04,1,22,304,22,98,0.10312472500046715
04,1,22,304,22,98,0.29858280749684535
04,1,22,304,22,98,0.7906245250008069
04,1,22,304,22,98,0.10312472500046715
04,1,13,204,13,80,0.12734213319633772
04,1,13,204,13,80,0.12734213319633772
04,1,13,204,13,25,0.15499034999962896
04,1,13,204,13,25,0.15499034999962896
04,1,29,403,29,112,13.686601632982246
04,1,29,403,29,112,0.10335408692378702
04,1,29,403,29,112,0.27717742833530923
04,1,29,403,29,112,0.48907934840295475
04,1,29,403,29,112,13.686601632982246
04,1,29,403,29,112,0.10335408692378702
04,1,29,403,29,112,0.27717742833530923
04,1,29,403,29,112,0.48907934840295475
04,1,13,204,13,56,2.9860859999991956
04,1,13,204,13,56,1.8229341610632714
04,1,13,204,13,56,2.9860859999991956
04,1,13,204,13,56,1.8229341610632714
04,1,13,204,13,56,2.947416449121911
04,1,13,204,13,56,2.947416449121911
04,1,13,204,13,57,4.058493872763943
04,1,13,204,13,57,0.32992964999936525
04,1,13,204,13,57,4.058493872763943
04,1,13,204,13,57,0.32992964999936525
04,1,13,204,13,55,1.970151427459423
04,1,13,204,13,55,0.31697140130441276
04,1,13,204,13,55,0.6383710792987175
04,1,13,204,13,55,1.970151427459423
04,1,13,204,13,55,0.29188802494714133
04,1,13,204,13,55,0.6287681484965768
04,1,13,204,13,68,0.3286207589559851
04,1,13,204,13,68,0.3286207589559851
04,1,33,1201,33,108,0.8025637176453072
04,1,33,1201,33,108,0.874004569767397
04,1,33,1201,33,108,0.8025637176453072
04,1,33,1201,33,108,0.788465269767102
04,1,13,204,13,64,1.827098072178676
04,1,13,204,13,64,1.824794245065736
04,1,33,1201,33,98,11.796762094551637
04,1,33,1201,33,98,1.2901656730135769
04,1,33,1201,33,98,11.780665286908974
04,1,33,1201,33,98,1.2901656730135769
04,1,13,204,13,62,3.4658707657443055
04,1,13,204,13,62,3.4658707657443055
04,0,22,304,22,199,1.429701202962766
04,0,22,304,22,199,0.9426574929682291
04,0,22,304,22,199,1.429701202962766
04,0,22,304,22,199,0.9426574929682291
04,0,13,204,13,62,1.1103488301652529
04,0,13,204,13,62,3.6519483451943846
04,0,13,204,13,62,0.2779699627540793
04,0,13,204,13,62,1.1103488301652529
04,0,13,204,13,62,3.598048395175482
04,0,13,204,13,62,0.2779699627540793
04,1,33,1201,33,113,0.8855155565121908
04,1,33,1201,33,113,3.558477540604064
04,1,33,1201,33,113,0.8855155565121908
04,1,33,1201,33,113,3.485978793435182
04,1,13,204,13,49,1.8420427350905049
04,1,13,204,13,49,1.7756712897267444
04,1,13,204,13,52,16.48347452425327
04,1,13,204,13,52,2.497060781978839
04,1,13,204,13,52,8.650946035302685
04,1,13,204,13,52,16.48347452425327
04,1,13,204,13,52,2.497060781978839
04,1,13,204,13,52,8.650946035302685
04,1,33,1201,33,86,4.648369499989785
04,1,33,1201,33,86,4.648369499989785
04,1,33,1201,33,72,10.723199819605167
04,1,33,1201,33,72,10.712075895649294
04,1,13,204,13,72,12.593635234442749
04,1,13,204,13,72,12.590367540436617
04,1,19,304,19,69,0.6475004999991507
04,1,19,304,19,69,0.6475004999991507
04,1,13,204,13,50,6.282052485949121
04,1,13,204,13,50,9.57905636748226
04,1,13,204,13,50,6.282052485949121
04,1,13,204,13,50,9.546180738214817
04,1,13,204,13,64,2.2781333214521373
04,1,13,204,13,64,16.802286839674462
04,1,13,204,13,64,2.2781333214521373
