period,oha,ohv,ogs,ocp,ocf
1,2557.599118121123,429145.00000000006,17513933.302009936,49919627.02936133,3144817.437597471
2,2429.7191622150663,407687.75000000023,21036614.08512378,50171431.789894484,3035736.110848729
3,2429.7191622150676,407687.7500000003,24880157.43017197,50754812.20915302,3035424.892635523
4,2429.719162215067,413264.0405349199,28906397.442240216,51591534.71242374,3094366.8376548877
5,2429.719162215067,450602.2500000002,32832531.591310635,52227564.22673643,3154860.616464989
6,2429.7191622150667,450602.2500000001,36552092.22709735,52575712.488457374,3194764.358869187
7,2685.4790740271787,450602.25000000006,39979971.775480464,52987041.87594589,3237026.3897629837
8,2685.4790740271783,450602.2500000001,43070860.591291696,53432752.21394262,3283759.191441645
9,2685.4790740271774,450602.2500000001,45796982.85449482,53909091.36050246,3329365.3878001696
10,2685.4790740271787,450602.2500000002,48246096.0453444,54393404.18781274,3373477.543098799
