period,oha,ohv,ogs
1,1613.7594816190692,321858.0,17640153.302009936
2,1619.235488034184,305765.10000000003,21283360.236740746
3,1533.0715075381154,305765.10000000003,25256606.40055108
4,1533.0715075381156,305765.1,29425755.823156297
5,1533.0715075381158,305765.10000000015,33551691.467474412
6,1533.0715075381156,305765.1,37476245.29794757
7,1533.0715075381154,318043.0520865968,41106641.751551025
8,1533.0715075381156,305765.1,44419159.27645519
9,1533.0715075381158,305765.10000000003,47363825.5853957
10,1533.071507538116,305765.1,50028938.923759915
