period,oha,ohv,ogs,ocp,ocf
1,0.0,0.0,18018809.772598173,49919644.89888294,3169909.513776313
2,0.0,0.0,22034657.31989905,50208208.57010672,3060094.632445613
3,0.0,0.0,26390929.27974843,50860515.60521614,3065550.731297122
4,0.0,0.0,30946866.771397218,51785678.91796255,3134146.10903587
5,0.0,0.0,35449893.011654235,52516819.666241266,3205286.096489376
6,0.0,0.0,39741776.051133655,52953210.966337375,3254401.740970176
7,0.0,0.0,43729487.21964725,53430124.873519525,3305278.1796668316
8,0.0,0.0,47361237.06936608,53946206.72758117,3357074.278881524
9,0.0,0.0,50602308.447001025,54479909.839947544,3406870.9996437095
10,0.0,0.0,53521794.17973185,55006153.95138625,3453562.607358323
