period,oha,ohv,ogs
1,43682.77740198619,4115324.952836643,13177251.004555063
2,252.2276475012585,22377.286464195262,16739615.723026233
3,152.88041202494745,10969.29123617875,20735580.293193195
4,0.0,0.0,25071648.260584917
5,0.0,0.0,29477510.130010925
6,13.610935649281732,1376.7461409248472,33857076.977455206
7,1579.6479898124408,274933.7592785272,37842235.292234436
8,3974.427695999404,737519.5178384233,41121767.68016778
9,5868.182426245601,1030851.9533264132,43868382.50948024
10,177252.9307402019,23870535.770135026,19531350.478791248
