period,oha,ohv,ogs
1,5363.6985893455485,965574.0,16882840.36083347
2,5631.8835188128305,917295.3000000002,19755867.43535088
3,5631.883518812828,917295.3000000003,22922387.51733704
4,5116.785118653378,917295.3,26274696.05216319
5,5095.513659878275,917295.3,29566707.87816378
6,5095.513659878273,917295.2999999998,32639141.719663214
7,5095.513659878272,917295.2999999993,35420569.14913826
8,5095.513659878273,917295.2999999995,37909190.625199005
9,5095.513659878272,917295.2999999993,40101803.50813637
10,5095.513659878274,917295.2999999996,42098486.31786727
