period,oha,ohv,ogs,ocp,ocf
1,67.9157590880614,9494.241770813687,18007640.076397218,49916831.375262946,-343731.6709079567
2,64.51997113365829,9968.953859354373,22011594.38252944,50201987.02976937,-702719.0136039885
3,64.51997113365832,9968.953859354373,26356373.59063068,50851244.944923125,-900532.8514289681
4,64.51997113365837,9968.953859354371,30901951.194260668,51773839.61383579,-1027976.7408630865
5,71.31154704246453,9968.953859354366,35396206.224736296,52502603.01134137,-1085025.1232997442
6,71.31154704246445,9019.529682273005,39682172.45503408,52937171.74981031,-1157573.668127451
7,71.31154704246437,9019.529682273002,43665890.901066564,53412762.277856424,-1220058.5195051008
8,71.3115470424645,9019.529682273003,47295166.50823053,53927878.9577882,-1260651.7520798962
9,71.31154704246464,9019.529682273018,50534825.448899075,54461032.6741714,-1278557.1526173162
10,64.51997113365833,9019.529682273002,53453964.291047595,54988445.40891857,-1267889.3226494365
