period,oha,ohv,ogs
1,8520.305165193275,536247.2,6386370.667408975
2,8094.289906933614,563059.5599999999,8229888.644830917
3,8094.2899069336145,563059.5599999998,10264235.128173942
4,8278.51308545759,563059.5599999999,12322919.814319702
5,8094.289906933617,563059.56,14278807.22773321
6,8094.289906933611,563059.5599999997,16051203.569670567
7,8461.05900232937,563059.56,17614144.974985454
8,8946.32042345294,563059.5599999999,18956333.42494505
9,8094.289906933614,563059.5599999998,20045192.59904783
10,8472.300915354712,563059.5599999998,20875462.454072572
