period,oha,ohv,ogs
1,1818.6897234874205,306426.39999999997,6656748.079173679
2,1909.6242096617916,291105.07999999996,8983543.75932097
3,1909.6242096617918,291105.08,11621748.48086019
4,1901.6147614634508,291105.0799999999,14387566.677468909
5,1727.7552373130497,291105.07999999996,17125700.50248801
6,1727.7552373130493,291105.0799999999,19707679.235399436
7,1727.7552373130495,292057.0525036193,22066484.786689494
8,1727.7552373130497,291105.0799999999,24168378.3642057
9,1727.7552373130488,291105.0799999999,25977115.969566617
10,1727.75523731305,291105.0799999999,27490820.98944566
