period,oha,ohv,ogs
1,3093.541406690956,459639.6,6476497.255644269
2,3248.2184770255035,436657.62000000005,8617817.850137902
3,3248.218477025504,436657.6199999997,11046386.704372037
4,3237.6190698349596,436657.61999999994,13572859.661397856
5,2938.864336356408,436657.6199999998,16054612.802969929
6,2938.8643363564092,451278.24300747656,18357592.400516078
7,2938.8643363564074,436657.6199999999,20468162.19443452
8,2938.8643363564097,482621.58000000013,22288231.36633822
9,2938.8643363564074,456443.82481155515,23888305.669942033
10,2938.864336356408,437362.8959121935,25235784.408159886
