period,oha,ohv,ogs,ocp,ocf
1,3297.466827582054,383033.0,6566622.667408977,26657442.157530278,-488970.80565615755
2,3403.3318136537423,363881.35000000003,8791860.446110204,27712729.566360198,-519220.83705416246
3,3462.3401689611565,363881.35000000003,11324422.173033742,28634333.737481378,-533615.4818652007
4,3274.589155906406,363881.35,14009130.510022622,29369769.122961633,-542243.0592700001
5,3462.340168961158,363881.3500000001,16699756.338176634,29825371.006417144,-536861.3489133313
6,3397.1886001570115,363881.35,19264442.583032228,30009177.047218163,-532727.405541828
7,3462.3401689611555,363881.35000000003,21610439.6572714,30054194.0079194,-540923.7318647208
8,3462.340168961157,363881.35000000003,23699684.062508117,30106544.068226397,-554565.0532102501
9,3132.593486202951,363881.3500000001,25499769.199405678,30168289.2211054,-561494.986557301
10,3132.5934862029517,363881.35,27029080.150578395,30237546.32101234,-560313.8228678933
