period,oha,ohv,ogs,ocp,ocf
1,0.0,0.0,7017249.726232503,26743040.751476888,1558187.36537212
2,0.0,0.0,9700620.051466752,27908463.962650772,1642789.6848698123
3,0.0,0.0,12719229.361935288,28956086.62661132,1718707.5650926414
4,0.0,0.0,15896765.982466124,29797265.57996609,1779026.24463552
5,0.0,0.0,19068525.8238494,30379061.23405194,1819333.1929382668
6,0.0,0.0,22104938.24670586,30726212.63641366,1842655.8523032898
7,0.0,0.0,24911251.59021332,30910317.772966594,1854745.3987706718
8,0.0,0.0,27433001.584129617,31001620.931381866,1860843.4237234618
9,0.0,0.0,29624894.22127207,31042171.65687222,1863831.5335143376
10,0.0,0.0,31466099.055057645,31062932.530279562,1865437.1473395072
