period,oha,ohv,ogs,ocp,ocf
1,0.0,0.0,106582957.39459197,157790656.76566607,8858885.451803822
2,0.0,0.0,118224920.51249859,158972163.1841886,8837091.056440333
3,0.0,0.0,129989851.70913523,160644384.69835004,8903706.323825123
4,0.0,0.0,141494120.42720646,162560823.9659139,9009821.884951996
5,0.0,0.0,152371267.0116893,164621474.70722023,9113042.975225486
6,0.0,0.0,162362883.529429,166683802.98814917,9208128.010646673
7,0.0,0.0,171267016.11607596,168618433.40532938,9292568.337305829
8,0.0,0.0,178920616.70162213,169987291.1110697,9352058.320574826
9,0.0,0.0,185282750.13087994,170907436.1250457,9392875.394972023
10,0.0,0.0,190335984.1251912,171456452.9924036,9419448.913535388
