period,oha,ohv,ogs,ocp,ocf
1,23907.36434170856,5476658.399999999,100139829.86518022,178457246.55879375,-956786.2820422533
2,23911.954397131674,5202825.480000006,105759299.20678571,179904348.59659785,-1157144.8783329919
3,23475.245048261873,5202825.4799999995,111565346.63727012,182006562.4222928,-1242808.717332737
4,25102.732558793992,5202825.48,117232244.18758996,184305273.68546006,-1301103.8054277247
5,25102.732558794003,5202825.480000006,122508814.41022298,186759908.48747253,-1355184.9922911124
6,25102.73255879401,5202825.480000003,127388799.4411286,189327958.51981175,-1358976.765352098
7,25102.73255879399,5202825.479999999,131917133.61389816,191796856.6854454,-1366447.4164336221
8,22711.996124623154,5202825.480000001,136035241.1855657,194405141.22912902,-1326771.1696246862
9,22711.996124623143,5202825.480000008,139651465.23705894,196247280.36462453,-1260553.0871440615
10,22711.996124623132,5202825.480000006,142991250.41479468,197817714.2608391,-1135243.4022264343
