period,oha,ohv,ogs,ocp,ocf
1,41663.12661790496,9127764.0,95844411.512239,157202951.99339107,-1632490.525065068
2,43746.282948800246,9584152.200000009,96302739.45453164,156356343.42169565,-1729813.1728600203
3,43746.282948800224,9584152.20000002,96826070.28398952,155415707.88182694,-1805726.5703042275
4,43746.28294880024,8671375.80000002,98250218.38415374,155398490.381283,-1877919.5144001802
5,43746.28294880022,8671375.80000002,99567929.69556405,155307187.39121655,-1890025.0227129925
6,43746.28294880025,8671375.800000018,100754185.08416025,155572293.52255803,-1889308.5299605017
7,43658.78031190192,8671375.800000016,101603692.79754677,155739479.32546586,-1863019.2521549885
8,40385.8721019399,8671375.800000008,101700670.46870491,155743516.32149833,-1886010.957369343
9,39579.97028700978,8671375.800000018,101271496.10118252,156399721.09639338,-1957735.2560377328
10,39579.97028700972,8671375.800000008,101096016.71872532,157022756.5961635,-1998242.549349399
