identifier,timestep,theme0,theme1,theme2,theme3,theme4,theme5,species,Input,SoftwoodMerch,SoftwoodFoliage,SoftwoodOther,SoftwoodCoarseRoots,SoftwoodFineRoots,HardwoodMerch,HardwoodFoliage,HardwoodOther,HardwoodCoarseRoots,HardwoodFineRoots,AboveGroundVeryFastSoil,BelowGroundVeryFastSoil,AboveGroundFastSoil,BelowGroundFastSoil,MediumSoil,AboveGroundSlowSoil,BelowGroundSlowSoil,SoftwoodStemSnag,SoftwoodBranchSnag,HardwoodStemSnag,HardwoodBranchSnag,CO2,CH4,CO,NO2,Products,dtype_key,ecosystem_init,biomass_init,DOM_init,age,area,ecosystem,DOM,biomass
1,0,tsa04,1,7,100,7,7,softwood,10.0,3.938351343894894e-10,0.0005103217347336919,0.0,6.502938291477238e-05,4.8262129627507045e-05,0.0,0.0,0.0,0.0,0.0,2.6625089073325436,17.026207097191552,97.71705619497006,47.65824279767692,43.40042040681055,57.908334403193365,412.9188713610064,206.85539183652276,158.53020741100116,0.0,0.0,33183.367009183894,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,1044.6778640293464,0.0006236136411111057,1044.6772404157052,1,10.0,104.46778640293465,104.46772404157052,6.236136411111057e-05
2,0,tsa04,1,7,100,7,7,softwood,5.0,1.0145940880011638e-08,0.00204109766237659,0.0,0.00026009603637606386,0.00019302989707041453,0.0,0.0,0.0,0.0,0.0,1.1211129692978163,6.120352834002762,52.204360471999145,21.90689869261142,24.48408816698243,30.143536952253527,206.69120348342227,99.06556818278075,68.46125759523892,0.0,0.0,16603.823932790358,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,510.2008735823308,0.0024942337417639482,510.198379348589,2,5.0,102.04017471646617,102.0396758697178,0.0004988467483527896
1,1,tsa04,1,7,100,7,7,softwood,10.0,2.0291881760023277e-08,0.00408219532475318,0.0,0.0005201920727521277,0.00038605979414082906,0.0,0.0,0.0,0.0,0.0,2.2422259385956327,12.240705668005525,104.40872094399829,43.81379738522284,48.96817633396486,60.287073904507054,413.38240696684454,198.1311363655615,136.92251519047784,0.0,0.0,33207.647865580715,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,1020.4017471646616,0.0049884674835278964,1020.396758697178,1,10.0,102.04017471646617,102.0396758697178,0.0004988467483527896
2,1,tsa04,1,7,100,7,7,softwood,5.0,1.0180259195554292e-07,0.0068882179687644466,0.0,0.0008777847493150485,0.0006514222399260726,0.0,0.0,0.0,0.0,0.0,0.9445265888128129,4.4002041909681076,54.28706520138932,20.13973983629161,27.072784444283155,31.27855716307838,206.7888365300918,94.88741591185251,59.129977410177915,0.0,0.0,16615.09393335376,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,498.93752480370614,0.008417526760597524,498.92910727694556,2,5.0,99.78750496074123,99.78582145538911,0.0016835053521195048
1,2,tsa04,1,7,100,7,7,softwood,10.0,2.0360518391108585e-07,0.013776435937528893,0.0,0.001755569498630097,0.0013028444798521453,0.0,0.0,0.0,0.0,0.0,1.8890531776256259,8.800408381936215,108.57413040277864,40.27947967258322,54.14556888856631,62.55711432615676,413.5776730601836,189.77483182370503,118.25995482035583,0.0,0.0,33230.18786670752,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,997.8750496074123,0.016835053521195048,997.8582145538911,1,10.0,99.78750496074123,99.78582145538911,0.0016835053521195048
2,2,tsa04,1,7,100,7,7,softwood,5.0,5.227700569538401e-07,0.016326408368475917,0.0,0.002080620187320234,0.0015439585254340628,0.0,0.0,0.0,0.0,0.0,0.7966152159113015,3.1636929046964015,55.34391734807826,18.515140775162575,29.476165980413022,32.35440663217301,206.78657744280972,90.88547982615786,51.070552182951744,0.0,0.0,16625.632386258676,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,488.41249981820516,0.01995150985128717,488.3925483083539,2,5.0,97.68249996364104,97.67850966167079,0.003990301970257433
1,3,tsa04,1,7,100,7,7,softwood,10.0,1.0455401139076802e-06,0.032652816736951834,0.0,0.004161240374640468,0.0030879170508681256,0.0,0.0,0.0,0.0,0.0,1.593230431822603,6.327385809392803,110.68783469615651,37.03028155032515,58.952331960826044,64.70881326434602,413.57315488561943,181.77095965231572,102.14110436590349,0.0,0.0,33251.26477251735,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,976.8249996364103,0.03990301970257434,976.7850966167078,1,10.0,97.68249996364104,97.67850966167079,0.003990301970257433
2,3,tsa04,1,7,100,7,7,softwood,5.0,1.8597627505975645e-06,0.03188463135191368,0.0,0.004063658986897926,0.0030151420405575436,0.0,0.0,0.0,0.0,0.0,0.6734373539936225,2.27499983513652,55.57460147544295,17.02160791239573,31.703649200916388,33.367928766126326,206.70936882618628,87.0523279006916,44.10962788263561,0.0,0.0,16635.54131860541,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,478.52651444566715,0.038965292142119745,478.487549153525,2,5.0,95.70530288913343,95.697509830705,0.007793058428423949
1,4,tsa04,1,7,100,7,7,softwood,10.0,3.719525501195129e-06,0.06376926270382736,0.0,0.008127317973795851,0.006030284081115087,0.0,0.0,0.0,0.0,0.0,1.346874707987245,4.54999967027304,111.1492029508859,34.04321582479146,63.407298401832776,66.73585753225265,413.41873765237256,174.1046558013832,88.21925576527121,0.0,0.0,33271.08263721082,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,957.0530288913343,0.07793058428423949,956.97509830705,1,10.0,95.70530288913343,95.697509830705,0.007793058428423949
2,4,tsa04,1,7,100,7,7,softwood,5.0,5.245384135271519e-06,0.05509034548485328,0.0,0.007021996280439289,0.005209224892476171,0.0,0.0,0.0,0.0,0.0,0.5718417013054952,1.6365137586376608,55.14675897480133,15.648576598686939,33.7642197354789,34.3173313785561,206.57543701546803,83.38084156457718,38.09747866000321,0.0,0.0,16644.89696390247,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,469.2063261995567,0.06732681204190402,469.13899938751484,2,5.0,93.84126523991134,93.82779987750297,0.013465362408380805
