identifier,timestep,theme0,theme1,theme2,theme3,theme4,theme5,species,Input,SoftwoodMerch,SoftwoodFoliage,SoftwoodOther,SoftwoodCoarseRoots,SoftwoodFineRoots,HardwoodMerch,HardwoodFoliage,HardwoodOther,HardwoodCoarseRoots,HardwoodFineRoots,AboveGroundVeryFastSoil,BelowGroundVeryFastSoil,AboveGroundFastSoil,BelowGroundFastSoil,MediumSoil,AboveGroundSlowSoil,BelowGroundSlowSoil,SoftwoodStemSnag,SoftwoodBranchSnag,HardwoodStemSnag,HardwoodBranchSnag,CO2,CH4,CO,NO2,Products,dtype_key,ecosystem_init,biomass_init,DOM_init,age,area,ecosystem,DOM,biomass
1,5,tsa04,1,7,100,7,7,softwood,10.0,1.0490768270543039e-05,0.11018069096970656,0.0,0.014043992560878578,0.010418449784952342,0.0,0.0,0.0,0.0,0.0,1.1436834026109903,3.2730275172753216,110.29351794960266,31.297153197373877,67.5284394709578,68.6346627571122,413.15087403093605,166.76168312915436,76.19495732000642,0.0,0.0,33289.79392780494,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,938.4126523991134,0.13465362408380804,938.2779987750297,1,10.0,93.84126523991134,93.82779987750297,0.013465362408380805
2,5,tsa04,1,7,100,7,7,softwood,5.0,1.2604255939517328e-05,0.08746876778052885,0.0,0.011150791279733471,0.008270073312362507,0.0,0.0,0.0,0.0,0.0,0.4893420984818396,1.1780922057298646,54.20074510958598,14.38633619730577,35.66645129463699,35.20193338443816,206.39815325985512,79.86420248392167,32.904786322642536,0.0,0.0,16653.757550772265,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,460.3969445932265,0.10690223662856435,460.29004235659795,2,5.0,92.07938891864531,92.0580084713196,0.02138044732571287
1,6,tsa04,1,7,100,7,7,softwood,10.0,2.5208511879034656e-05,0.1749375355610577,0.0,0.022301582559466942,0.016540146624725013,0.0,0.0,0.0,0.0,0.0,0.9786841969636793,2.3561844114597292,108.40149021917196,28.77267239461154,71.33290258927398,70.40386676887633,412.79630651971024,159.72840496784335,65.80957264528507,0.0,0.0,33307.51510154453,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,920.793889186453,0.2138044732571287,920.5800847131959,1,10.0,92.07938891864531,92.0580084713196,0.02138044732571287
2,6,tsa04,1,7,100,7,7,softwood,5.0,2.6935752316345558e-05,0.13054198510205767,0.0,0.01664529754989089,0.012341002879780141,0.0,0.0,0.0,0.0,0.0,0.42401211885506973,0.8493407178503882,52.85370624974877,13.225961194180167,37.41852373556653,36.021951553126165,206.18737500642214,76.49587990328914,28.41985876812017,0.0,0.0,16662.168768319283,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,452.05616446844255,0.15955522128404503,451.89660924715855,2,5.0,90.4112328936885,90.3793218494317,0.031911044256809004
1,7,tsa04,1,7,100,7,7,softwood,10.0,5.3871504632691116e-05,0.26108397020411533,0.0,0.03329059509978178,0.024682005759560283,0.0,0.0,0.0,0.0,0.0,0.8480242377101395,1.6986814357007765,105.70741249949754,26.451922388360334,74.83704747113306,72.04390310625233,412.3747500128443,152.99175980657827,56.83971753624034,0.0,0.0,33324.337536638566,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,904.1123289368851,0.31911044256809007,903.7932184943171,1,10.0,90.4112328936885,90.3793218494317,0.031911044256809004
2,7,tsa04,1,7,100,7,7,softwood,5.0,5.2631262515419536e-05,0.18582791853988787,0.0,0.023700897922449456,0.01756458413368408,0.0,0.0,0.0,0.0,0.0,0.3743961784135512,0.6140621299344508,51.20307248952504,12.15924786542448,39.02824035149945,36.77832144236809,205.950413038527,73.26961852239147,24.546227545143118,0.0,0.0,16670.16758488025,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,444.15074559508514,0.22714603185853682,443.92359956322656,2,5.0,88.83014911901702,88.78471991264531,0.045429206371707366
1,8,tsa04,1,7,100,7,7,softwood,10.0,0.00010526252503083907,0.37165583707977573,0.0,0.04740179584489891,0.03512916826736816,0.0,0.0,0.0,0.0,0.0,0.7487923568271024,1.2281242598689015,102.40614497905008,24.31849573084896,78.0564807029989,73.55664288473618,411.900826077054,146.53923704478294,49.092455090286236,0.0,0.0,33340.3351697605,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,888.3014911901703,0.45429206371707365,887.8471991264531,1,10.0,88.83014911901702,88.78471991264531,0.045429206371707366
2,8,tsa04,1,7,100,7,7,softwood,5.0,9.582432874716891e-05,0.25483914363306776,0.0,0.032513143802446104,0.024082419085076807,0.0,0.0,0.0,0.0,0.0,0.33943453600127826,0.44626594351799975,49.329547662364945,11.178656054050009,40.50304441785761,37.47254746324104,205.6927293004422,70.17942688557298,21.200572867512403,0.0,0.0,16677.78490300533,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,436.65375566140983,0.3115305308493378,436.34222513056045,2,5.0,87.33075113228196,87.26844502611209,0.06230610616986756
1,9,tsa04,1,7,100,7,7,softwood,10.0,0.00019164865749433783,0.5096782872661355,0.0,0.06502628760489221,0.048164838170153615,0.0,0.0,0.0,0.0,0.0,0.6788690720025565,0.8925318870359995,98.65909532472989,22.357312108100018,81.00608883571522,74.94509492648208,411.3854586008844,140.35885377114596,42.401145735024805,0.0,0.0,33355.56980601066,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,873.3075113228197,0.6230610616986756,872.6844502611209,1,10.0,87.33075113228196,87.26844502611209,0.06230610616986756
2,9,tsa04,1,7,100,7,7,softwood,5.0,0.0001647722944313509,0.33908156884148305,0.0,0.04327779847403802,0.03203488925813498,0.0,0.0,0.0,0.0,0.0,0.31839997003293435,0.3272992894977499,47.29966740035562,10.277255643754176,41.85003502679527,38.10657773960445,205.41844081403264,67.2195662626051,18.310931449001295,0.0,0.0,16685.047394669367,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,429.54273262454734,0.4145590288680874,429.12817359567924,2,5.0,85.90854652490947,85.82563471913585,0.08291180577361748
1,10,tsa04,1,7,100,7,7,softwood,10.0,0.0003295445888627018,0.6781631376829661,0.0,0.08655559694807605,0.06406977851626997,0.0,0.0,0.0,0.0,0.0,0.6367999400658687,0.6545985789954998,94.59933480071123,20.55451128750835,83.70007005359054,76.2131554792089,410.83688162806527,134.4391325252102,36.62186289800259,0.0,0.0,33370.094789338735,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,859.0854652490947,0.8291180577361748,858.2563471913585,1,10.0,85.90854652490947,85.82563471913585,0.08291180577361748
2,10,tsa04,1,7,100,7,7,softwood,5.0,0.0002702683060254946,0.44005297448576797,0.0,0.0561908838668195,0.04156087603295864,0.0,0.0,0.0,0.0,0.0,0.31084426803314225,0.24378422917279027,45.1679860833904,9.448677350923253,43.07598224050188,38.682700040872085,205.130683933138,64.38454000020732,15.815148610621785,0.0,0.0,16691.97876134437,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,422.79842175955224,0.5380750026915716,422.26034675686066,2,5.0,84.55968435191045,84.45206935137213,0.10761500053831433
1,11,tsa04,1,7,100,7,7,softwood,10.0,0.0005405366120509892,0.8801059489715359,0.0,0.112381767733639,0.08312175206591728,0.0,0.0,0.0,0.0,0.0,0.6216885360662845,0.48756845834558055,90.3359721667808,18.897354701846506,86.15196448100376,77.36540008174417,410.261367866276,128.76908000041465,31.63029722124357,0.0,0.0,33383.95752268874,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,845.5968435191045,1.0761500053831432,844.5206935137213,1,10.0,84.55968435191045,84.45206935137213,0.10761500053831433
2,11,tsa04,1,7,100,7,7,softwood,5.0,0.00042608266664636316,0.5592414143330192,0.0,0.07144873009960583,0.05279745423431993,0.0,0.0,0.0,0.0,0.0,0.31655296008968464,0.1861347500096292,42.97894507123594,8.68706748653998,44.18734159233421,39.203455597010105,204.83187796429212,61.6690833245744,13.659541365914187,0.0,0.0,16698.6005925172,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,416.40391379333386,0.6839136813335913,415.72000011200026,2,5.0,83.28078275866677,83.14400002240005,0.13678273626671827
1,12,tsa04,1,7,100,7,7,softwood,10.0,0.0008521653332927263,1.1184828286660384,0.0,0.14289746019921165,0.10559490846863986,0.0,0.0,0.0,0.0,0.0,0.6331059201793693,0.3722695000192584,85.95789014247188,17.37413497307996,88.37468318466841,78.40691119402021,409.66375592858424,123.3381666491488,27.319082731828374,0.0,0.0,33397.2011850344,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,832.8078275866677,1.3678273626671826,831.4400002240005,1,10.0,83.28078275866677,83.14400002240005,0.13678273626671827
2,12,tsa04,1,7,100,7,7,softwood,5.0,0.0006494326577969148,0.6981234820613168,0.0,0.08924802696599701,0.06587956010164622,0.0,0.0,0.0,0.0,0.0,0.33550697558126785,0.14749051545629155,40.768467324381675,7.9870463677773795,45.19026796361786,39.671568061266626,204.5239162386524,59.0681535760169,11.79774372792221,0.0,0.0,16704.93294549486,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,410.34406125245937,0.8539005017867569,409.49016075067266,2,5.0,82.06881225049187,81.89803215013453,0.1707801003573514
1,13,tsa04,1,7,100,7,7,softwood,10.0,0.0012988653155938297,1.3962469641226336,0.0,0.17849605393199403,0.13175912020329245,0.0,0.0,0.0,0.0,0.0,0.6710139511625357,0.2949810309125831,81.53693464876335,15.974092735554759,90.38053592723573,79.34313612253325,409.0478324773048,118.1363071520338,23.59548745584442,0.0,0.0,33409.86589098972,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,820.6881225049187,1.7078010035735138,818.9803215013453,1,10.0,82.06881225049187,81.89803215013453,0.1707801003573514
2,13,tsa04,1,7,100,7,7,softwood,5.0,0.0009614800369210831,0.8581624449591072,0.0,0.10978587636608858,0.08093963498302972,0.0,0.0,0.0,0.0,0.0,0.3678501116588503,0.12295022610826538,38.565317237325466,7.343670084882746,46.09062886278102,40.08988527925466,204.2083048489249,56.57692085761535,10.189709401009054,0.0,0.0,16710.99473314909,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,404.6050863459055,1.0498494363451467,403.5552369095603,2,5.0,80.92101726918109,80.71104738191205,0.20996988726902935
1,14,tsa04,1,7,100,7,7,softwood,10.0,0.0019229600738421661,1.7163248899182144,0.0,0.21957175273217716,0.16187926996605945,0.0,0.0,0.0,0.0,0.0,0.7357002233177006,0.24590045221653076,77.13063447465093,14.687340169765491,92.18125772556203,80.17977055850932,408.4166096978498,113.1538417152307,20.379418802018108,0.0,0.0,33421.98946629818,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,809.210172691811,2.0996988726902934,807.1104738191206,1,10.0,80.92101726918109,80.71104738191205,0.20996988726902935
2,14,tsa04,1,7,100,7,7,softwood,5.0,0.001387855489096588,1.0408062473897652,0.0,0.13325984452164627,0.09810724631746105,0.0,0.0,0.0,0.0,0.0,0.4138613781188072,0.10902037513052,36.3922590928181,6.752395352693944,46.894017132355586,40.46133186131959,203.88626360344966,54.19075908054868,8.800850405935934,0.0,0.0,16716.803980480985,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,399.1743194760888,1.273561193717969,397.9007582823708,2,5.0,79.83486389521775,79.58015165647416,0.2547122387435938
1,15,tsa04,1,7,100,7,7,softwood,10.0,0.002775710978193176,2.0816124947795305,0.0,0.26651968904329254,0.1962144926349221,0.0,0.0,0.0,0.0,0.0,0.8277227562376144,0.21804075026104,72.7845181856362,13.504790705387888,93.78803426471117,80.92266372263919,407.7725272068993,108.38151816109736,17.60170081187187,0.0,0.0,33433.60796096197,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,798.3486389521776,2.547122387435938,795.8015165647416,1,10.0,79.83486389521775,79.58015165647416,0.2547122387435938
2,15,tsa04,1,7,100,7,7,softwood,5.0,0.0019592093645353107,1.2474853867701694,0.0,0.15986801263957226,0.11750868770233215,0.0,0.0,0.0,0.0,0.0,0.4739314317194832,0.10321885210360619,34.267042878497726,6.209047197951806,47.60576310830123,40.78887084612863,203.55879967680707,51.9052373894851,7.6012931104779655,0.0,0.0,16722.377992571615,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,394.0400257879492,1.526821296476609,392.51320449147255,2,5.0,78.80800515758985,78.50264089829452,0.3053642592953218
1,16,tsa04,1,7,100,7,7,softwood,10.0,0.0039184187290706215,2.494970773540339,0.0,0.3197360252791445,0.2350173754046643,0.0,0.0,0.0,0.0,0.0,0.9478628634389664,0.20643770420721239,68.53408575699545,12.418094395903612,95.21152621660246,81.57774169225726,407.11759935361414,103.8104747789702,15.202586220955931,0.0,0.0,33444.75598514323,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,788.0800515758984,3.053642592953218,785.0264089829451,1,10.0,78.80800515758985,78.50264089829452,0.3053642592953218
2,16,tsa04,1,7,100,7,7,softwood,5.0,0.0027117880732652243,1.4796106650668963,0.0,0.18980902451238915,0.1392665600847267,0.0,0.0,0.0,0.0,0.0,0.5485424380484853,0.10378986750451444,32.20324218553186,5.70978925363221,48.23094625507264,41.07547299361257,203.22676150608615,49.71611195212194,6.565235663184206,0.0,0.0,16727.73346349995,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,389.1912901525318,1.8113980377372774,387.37989211479453,2,5.0,77.83825803050635,77.4759784229589,0.3622796075474555
1,17,tsa04,1,7,100,7,7,softwood,10.0,0.005423576146530449,2.9592213301337926,0.0,0.3796180490247783,0.2785331201694534,0.0,0.0,0.0,0.0,0.0,1.0970848760969707,0.20757973500902888,64.40648437106373,11.41957850726442,96.46189251014528,82.15094598722514,406.4535230121723,99.43222390424388,13.130471326368411,0.0,0.0,33455.4669269999,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,778.3825803050636,3.6227960754745547,774.7597842295891,1,10.0,77.83825803050635,77.4759784229589,0.3622796075474555
2,17,tsa04,1,7,100,7,7,softwood,5.0,0.003688035534732501,1.7385708191027252,0.0,0.22328212936724962,0.16349933636226596,0.0,0.0,0.0,0.0,0.0,0.6382508044405419,0.10949890487524398,30.210965443659347,5.251096449961436,48.774406298860036,41.32409246038166,202.89087837344456,47.619318097629076,5.670393009017317,0.0,0.0,16732.886546630034,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,384.61794016263616,2.129040320366973,382.4888998422691,2,5.0,76.92358803252723,76.49777996845383,0.42580806407339467
1,18,tsa04,1,7,100,7,7,softwood,10.0,0.007376071069465002,3.4771416382054503,0.0,0.44656425873449923,0.3269986727245319,0.0,0.0,0.0,0.0,0.0,1.2765016088810839,0.21899780975048797,60.421930887318695,10.502192899922871,97.54881259772007,82.64818492076331,405.78175674688913,95.23863619525815,11.340786018034635,0.0,0.0,33465.77309326007,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,769.2358803252723,4.258080640733946,764.9777996845382,1,10.0,76.92358803252723,76.49777996845383,0.42580806407339467
2,18,tsa04,1,7,100,7,7,softwood,5.0,0.004937219095184158,1.9661330486537534,0.059596984631675454,0.26048721809937625,0.1903209119291198,0.0,0.0,0.0,0.0,0.0,0.7411631248575217,0.1194852037877414,28.298280603935492,4.829729908729256,49.240753880483474,41.537575945370826,202.55178916438436,45.61096278939095,4.897803515588801,0.0,0.0,16737.852585961464,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,380.30901951893753,2.481475382409109,377.82754413652845,2,5.0,76.0618039037875,75.56550882730569,0.4962950764818218
1,19,tsa04,1,7,100,7,7,softwood,10.0,0.009874438190368316,3.9322660973075068,0.11919396926335091,0.5209744361987525,0.3806418238582396,0.0,0.0,0.0,0.0,0.0,1.4823262497150433,0.2389704075754828,56.596561207870984,9.659459817458512,98.48150776096695,83.07515189074165,405.1035783287687,91.2219255787819,9.795607031177601,0.0,0.0,33475.70517192293,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,760.6180390378751,4.962950764818218,755.6550882730569,1,10.0,76.0618039037875,75.56550882730569,0.4962950764818218
2,19,tsa04,1,7,100,7,7,softwood,5.0,0.006516079329196428,2.146862389319171,0.19556294939904573,0.30162485085481083,0.21984014395171503,0.0,0.0,0.0,0.0,0.0,0.8526135001622275,0.133155600522015,26.4719165630161,4.442713863096157,49.634380748512285,41.71856965418663,202.21006309407426,43.687317418055606,4.231456467737661,0.0,0.0,16742.64579967118,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,376.25259332221685,2.8704064128539395,373.38218690936293,2,5.0,75.25051866444338,74.67643738187259,0.5740812825707879
1,20,tsa04,1,7,100,7,7,softwood,10.0,0.013032158658392856,4.293724778638342,0.39112589879809145,0.6032497017096217,0.43968028790343006,0.0,0.0,0.0,0.0,0.0,1.705227000324455,0.26631120104403,52.9438331260322,8.885427726192313,99.26876149702457,83.43713930837326,404.4201261881485,87.37463483611121,8.462912935475321,0.0,0.0,33485.29159934236,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,752.5051866444337,5.740812825707879,746.7643738187259,1,10.0,75.25051866444338,74.67643738187259,0.5740812825707879
2,20,tsa04,1,7,100,7,7,softwood,5.0,0.0084895031340251,2.333737910998677,0.35622599202811633,0.34689627376451065,0.25216038240319116,0.0,0.0,0.0,0.0,0.0,0.9702823369891755,0.15010809980816564,24.736108077127177,4.087314439414472,49.959469512310434,41.86957922924633,201.86621534872089,41.84481090148657,3.6573559519472005,0.0,0.0,16747.279603622927,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,372.43875395937886,3.2975100623285205,369.1412438970504,2,5.0,74.48775079187577,73.82824877941007,0.6595020124657041
1,21,tsa04,1,7,100,7,7,softwood,10.0,0.0169790062680502,4.667475821997354,0.7124519840562327,0.6937925475290213,0.5043207648063823,0.0,0.0,0.0,0.0,0.0,1.940564673978351,0.3002161996163313,49.472216154254355,8.174628878828944,99.91893902462087,83.73915845849265,403.73243069744177,83.68962180297314,7.314711903894401,0.0,0.0,33494.55920724585,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,744.8775079187577,6.595020124657041,738.2824877941008,1,10.0,74.48775079187577,73.82824877941007,0.6595020124657041
2,21,tsa04,1,7,100,7,7,softwood,5.0,0.01093121950667013,2.5265223980686398,0.5430978175684159,0.396503422480347,0.28737899612156015,0.0,0.0,0.0,0.0,0.0,1.0944640714919847,0.17007681960739016,23.092771751289497,3.7610201507498218,50.22000297387426,41.99303825569074,201.5207191517987,40.08002307877622,3.163173014618298,0.0,0.0,16751.76695781135,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,368.8597231216425,3.764433853745633,365.0952892678969,2,5.0,73.7719446243285,73.01905785357937,0.7528867707491267
1,22,tsa04,1,7,100,7,7,softwood,10.0,0.02186243901334026,5.0530447961372795,1.0861956351368318,0.793006844960694,0.5747579922431203,0.0,0.0,0.0,0.0,0.0,2.1889281429839693,0.3401536392147803,46.185543502578994,7.5220403014996435,100.44000594774852,83.98607651138148,403.0414383035974,80.16004615755244,6.326346029236596,0.0,0.0,33503.5339156227,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,737.719446243285,7.528867707491266,730.1905785357937,1,10.0,73.7719446243285,73.01905785357937,0.7528867707491267
2,22,tsa04,1,7,100,7,7,softwood,5.0,0.013924517362466363,2.7249771139408434,0.7576560597214499,0.45064891002753527,0.32558689737996127,0.0,0.0,0.0,0.0,0.0,1.2254120021718564,0.19289230087288875,21.542579224870405,3.461523963892317,50.41977305653026,42.09130095192731,201.17401485051738,38.38967838601794,2.7382734843086567,0.0,0.0,16756.12037193221,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,365.5082417195413,4.272793498432256,361.235448221109,2,5.0,73.10164834390825,72.2470896442218,0.8545586996864513
1,23,tsa04,1,7,100,7,7,softwood,10.0,0.027849034724932727,5.449954227881687,1.5153121194428998,0.9012978200550705,0.6511737947599225,0.0,0.0,0.0,0.0,0.0,2.450824004343713,0.3857846017457775,43.08515844974081,6.923047927784634,100.83954611306052,84.18260190385462,402.34802970103476,76.77935677203588,5.476546968617313,0.0,0.0,33512.24074386442,41.729516230614934,375.55381239107805,0.0,0.0,tsa04 1 7 100 7 7,731.0164834390825,8.545586996864513,722.470896442218,1,10.0,73.10164834390825,72.2470896442218,0.8545586996864513
2,23,tsa04,1,7,100,7,7,softwood,5.0,0.01756298471109844,2.9288619999342673,1.0013410740712243,0.509535996371135,0.36686806866394817,0.0,0.0,0.0,0.0,0.0,1.3633428613992906,0.21845286374274114,20.085212428339876,3.186706812772688,50.56238934779516,42.16663725660567,200.8265168000794,36.7706398020502,2.3734866302996465,0.0,0.0,16760.35191176459,20.864758115307467,187.77690619553903,0.0,0.0,tsa04 1 7 100 7 7,362.3775549268363,4.824170123751673,357.55338480308467,2,5.0,72.47551098536726,71.51067696061693,0.9648340247503346
