period,oha,ohv,ogs
1,2798.665911268146,536430.0,17387715.654951114
2,2931.804823489696,509608.5000000002,20775038.095663667
3,2681.5951536154244,509608.5000000003,24482623.591840986
4,2658.7326157047382,509608.50000000006,28383125.337602086
5,2658.73261570474,509608.50000000006,32232409.803945586
6,2658.7326157047396,511958.7565235717,35881486.887773365
7,2658.732615704739,533384.2078596298,39229220.41405173
8,2658.732615704739,514810.3990175015,42271362.83394972
9,2658.7326157047387,509608.5000000002,44995619.46403009
10,2658.7326157047396,509608.50000000023,47457089.92069021
