period,oha,ohv,ogs,ocp,ocf
1,75817.07698434962,7464783.819734417,9236711.161145916,49071213.1817992,-117725.92624293877
2,757.6131092431712,44196.56911283657,12225357.821428675,47508981.116269134,-45493.39134814068
3,28.33257481230678,2478.0347346063973,15740237.655865835,47393455.27085744,-502106.2844951686
4,0.0,0.0,19657504.11436081,48143038.447006606,-802256.7418094091
5,0.0,0.0,23746650.143420037,49074613.705250405,-971706.2366938468
6,0.0,0.0,27963654.64488382,49945306.31682703,-1120756.2757467593
7,0.0,0.0,32303862.00719298,50994694.613593474,-1220757.9238777934
8,0.0,0.0,36688784.89132374,52134156.35500862,-1261072.9372160693
9,0.0,0.0,41074470.64300734,53269091.83487253,-1253126.0436062198
10,0.0,0.0,45384629.45912755,54395833.18102045,-1257079.0740596417
