period,oha,ohv,ogs
1,6055.760247487413,429145.0,17513933.302009936
2,5752.972235113051,450602.2499999992,20931911.694684856
3,6272.537174965785,450602.25000000047,24648989.727781698
4,5752.972235113043,450602.2499999999,28500340.27904091
5,5752.972235113042,450602.2499999999,32256901.558639437
6,5752.972235113044,450602.24999999994,35830116.10695611
7,5752.972235113046,450602.25,39066271.16190165
8,6358.548259861776,450602.2499999978,42012355.88181764
9,5752.972235113077,450602.2499999988,44598125.798186675
10,6358.548259861784,450602.2499999999,46917078.35900752
