period,oha,ohv,ogs,ocp,ocf
1,3009.1982963621526,429143.99999999994,17513934.47848052,52706525.91200655,-308062.5272671384
2,3159.6582111802586,407686.8000000004,21039961.368592955,53905547.76978529,-595978.0662300424
3,3159.658211180259,407686.8000000003,24894939.87750358,55644588.30492459,-747110.1070768115
4,3159.65821118026,407686.80000000016,28949047.69749356,57738030.20679157,-828572.6390763823
5,3159.658211180259,407686.80000000016,32960314.62565098,59870019.37036688,-853084.3156937206
6,2858.738381544043,407686.80000000016,36795197.360516995,62129549.10785511,-888787.6369477755
7,2858.7383815440444,407686.8,40371401.89990906,64402397.775404215,-894155.8434117936
8,2858.7383815440444,407686.80000000016,43644419.26404448,66650200.77548163,-878995.0205354576
9,2858.7383815440435,407686.79999999993,46592339.938520916,68754523.53676346,-841903.5120949288
10,2858.7383815440435,407686.80000000005,49311543.85678906,70667854.72660719,-757757.621689714
