period,oha,ohv,ogs
1,4051.6666251160827,751001.9999999999,17135278.00789229
2,4254.2499563718875,713451.9,20264236.39895202
3,4077.168546703066,713451.9,23704360.623269223
4,3849.0832938602784,713451.8999999998,27334180.307181656
5,3849.08329386028,713451.9000000001,30905867.04558115
6,3849.083293860279,713451.8999999999,34268568.76475226
7,3849.083293860279,713451.8999999998,37363699.97288739
8,3849.0832938602784,713451.8999999997,40143633.40097998
9,3849.083293860278,713451.8999999996,42599712.05737652
10,3849.0832938602794,713451.8999999999,44826350.599539526
