period,oha,ohv,ogs
1,2812.6142265055432,214573.0,17766370.949068762
2,2671.9835151802663,225301.65000000002,21483550.295554604
3,2953.244937830821,225301.65000000002,25523658.4319767
4,2671.9835151802654,225301.64999999997,29752119.23186218
5,2715.786523625844,225301.65,33931997.23370894
6,2671.9835151802663,225301.65000000002,37921575.281331494
7,2671.983515180265,225301.64999999988,41620576.4259104
8,2953.244937830821,225301.65,44988569.33637732
9,2671.983515180265,225301.64999999997,48023000.24084094
10,2953.244937830821,225301.65,50789129.921524964
