period,oha,ohv,ogs,ocp,ocf
1,8683.47005686819,1072859.9999999998,16756621.537304057,49723011.34868308,-320866.05299773364
2,9117.643559711603,1126503.0000000005,19385141.54341785,49702733.98997251,-619697.9368468834
3,9117.643559711596,1019216.9999999995,22424916.704931032,49957751.57719365,-772795.8015061223
4,9117.6435597116,1019216.9999999993,25670264.67030886,50460787.810075104,-874750.1019964479
5,9117.6435597116,1019217.0,28879563.908941153,50729333.56650225,-912571.8062987985
6,8249.296554024784,1019216.9999999999,31919467.175099272,50772197.31618507,-988549.826748908
7,8249.296554024786,1019216.9999999995,34747763.246823356,51009433.016789645,-1066608.8882284116
8,8249.296554024779,1019216.9999999999,37314509.33684947,51437948.55977698,-1114961.5290515018
9,8249.296554024779,1019217.0,39593711.409916244,52010784.38337881,-1144656.017867009
10,8249.296554024782,1019216.9999999994,41747961.88442345,52608636.61398149,-1123532.4991561659
