period,oha,ohv,ogs,ocp,ocf
1,2685.328307432269,429144.0,17513934.47848053,52731092.64369367,0.0
2,2551.0618920606553,407686.8000000001,21035747.55121404,53983701.53876683,0.0
3,2551.0618920606535,407686.80000000005,24890349.926417932,55795143.52748574,0.0
4,2551.061892060654,407686.80000000005,28954861.204241052,57948357.81862597,0.0
5,2551.0618920606544,407686.8000000001,32977440.778919365,60112973.76106341,0.0
6,2551.061892060655,407686.80000000005,36807053.590764426,62372819.29466548,0.0
7,2551.061892060654,407686.8000000001,40355363.72009826,64654853.35675819,0.0
8,2551.061892060654,407686.80000000016,43580255.87641726,66934199.28514179,0.0
9,2819.5947228038804,407686.80000000016,46460064.732065484,69154923.09470859,0.0
10,2819.5947228038813,407686.8,49085454.428210646,71147497.02670678,0.0
