period,oha,ohv,ogs
1,8307.57472295815,643717.0000000002,17261495.654951114
2,7892.195986810242,675902.8500000006,20399971.164594173
3,8722.953459106056,675902.8500000003,23832006.047456358
4,8393.08602005963,675902.8500000003,27366767.596408196
5,7892.195986810242,675902.8500000002,30754277.295808338
6,7892.195986810242,675902.8500000002,33928102.44327878
7,7935.982257605359,675902.8500000001,36781846.54017724
8,8722.953459106058,675902.8500000002,39269083.66772555
9,8393.61896419137,675902.8500000003,41405332.878380574
10,8722.953459106058,675902.8500000002,43309506.88907759
