period,oha,ohv,ogs
1,4619.5830613412745,321859.0,17640152.12553935
2,4388.603908274212,337951.94999999995,21201387.2488389
3,4580.53605313093,337951.95,25065617.853313226
4,4388.603908274212,337951.94999999995,29106699.848610707
5,4388.603908274211,337951.94999999995,33095603.52216907
6,4388.603908274211,337951.95,36889374.48374094
7,4388.603908274212,337951.95000000007,40350466.31736396
8,4850.562214408339,337951.95,43493053.13148222
9,4850.562214408338,337951.94999999984,46249054.63871109
10,4850.562214408339,337951.94999999995,48746514.93674817
