period,oha,ohv,ogs,ocp,ocf
1,0.0,0.0,18018809.772598173,49919644.89888294,-343862.05981023866
2,0.0,0.0,22034657.31989905,50208208.57010672,-702937.8775641897
3,0.0,0.0,26390929.27974843,50860515.60521614,-900710.9110551887
4,0.0,0.0,30946866.771397218,51785678.91796255,-1028163.0351408819
5,0.0,0.0,35449893.011654235,52516819.666241266,-1085241.4321122505
6,0.0,0.0,39741776.051133655,52953210.966337375,-1157758.216381554
7,0.0,0.0,43729487.21964725,53430124.873519525,-1220189.9403843335
8,0.0,0.0,47361237.06936608,53946206.72758117,-1260748.3140837622
9,0.0,0.0,50602308.447001025,54479909.839947544,-1278627.4918403747
10,0.0,0.0,53521794.17973185,55006153.95138625,-1267957.267017399
