period,oha,ohv,ogs
1,11604.040435384186,858289.0000000002,17009058.00789229
2,11023.838413614976,901203.4500000004,19853198.111783803
3,11023.838413614976,901203.4500000001,22910023.83968208
4,11023.838413614974,901203.4500000002,26011389.295088522
5,11499.819084776038,901203.4500000002,28903242.91151448
6,11601.46259765718,901203.45,31613651.04005956
7,11023.838413614978,901203.4500000001,33967394.362299204
8,12184.2424571534,901203.4500000002,35929562.22968346
9,11023.838413614993,901203.4499999997,37580984.29164426
10,12184.242457153397,901203.4500000002,39030330.142539024
