period,oha,ohv,ogs,ocp,ocf
1,7003.038699648109,858287.9999999998,17009059.18436288,49746303.64803699,-325869.2308312204
2,7353.190634630512,815373.6,20015953.732042555,49740493.969014384,-640732.3098022899
3,7353.190634630511,815373.6000000001,23326448.137623165,50083047.48653593,-809873.0314075619
4,7353.190634630513,815373.6000000001,26846706.388566643,50682872.96034349,-916732.1403398269
5,7353.190634630513,815373.5999999995,30337535.732190415,51068528.13665096,-959242.8890794895
6,6652.886764665705,815373.5999999999,33658301.02683302,51172556.274376884,-1031029.8289583678
7,6652.886764665703,815373.5999999997,36748208.0511203,51452472.244590975,-1108329.4871121852
8,6652.886764665702,815373.5999999996,39567834.18963545,51905657.03476427,-1156099.3938045162
9,6652.886764665702,815373.6,42052372.5474148,52437500.701153114,-1184970.0258215147
10,6652.886764665704,815373.6000000001,44401759.606939785,53023180.68789723,-1165976.4807860313
