period,oha,ohv,ogs,ocp,ocf
1,8572.581469842986,1072859.9999999998,16756621.537304057,49724584.65572722,-321097.99246537004
2,9001.210543335139,1019217.0000000001,19511014.282955386,49681837.76005765,-621994.3599810158
3,9001.210543335132,1019216.9999999998,22557889.185308382,49953519.829750165,-779860.4425805658
4,9001.210543335135,1019216.9999999995,25811395.88811843,50474646.55297744,-880640.0846536547
5,9001.210543335132,1019216.9999999998,29027346.121121455,50757627.91955544,-916656.6682257197
6,8143.952396350841,1019217.0000000001,32071359.675770715,50807019.36714663,-991823.1311437424
7,8143.9523963508445,1019217.0000000006,34900852.27442158,51047999.53911414,-1068951.5648117072
8,8143.952396350835,1019216.9999999999,37465218.95212372,51477834.17759899,-1116708.655922464
9,8143.952396350837,1019217.0000000005,39737038.35235139,52046283.74816402,-1147036.617919086
10,8143.95239635084,1019216.9999999995,41884209.776224844,52640895.29848808,-1124373.5992245555
