period,oha,ohv,ogs
1,3417.7848546270275,643716.0,17261496.831421703
2,3588.6740973583783,611530.2,20518851.9910517
3,3358.6498716144706,611530.2,24093052.18660477
4,3246.895611895674,611530.1999999997,27857647.42178143
5,3246.8956118956758,611530.2000000001,31568122.402803004
6,3246.895611895675,611530.1999999997,35072647.91523941
7,3246.8956118956744,611530.1999999998,38304791.597728714
8,3246.895611895674,611530.1999999998,41225483.570703484
9,3246.895611895674,611530.1999999997,43807821.08945071
10,3246.8956118956753,611530.2000000001,46154927.44312714
