period,oha,ohv,ogs,ocp,ocf
1,0.0,0.0,18018809.772598173,49919644.89888294,3169909.513776313
2,0.0,0.0,22034657.31989905,50208208.57010672,3060094.632445613
3,0.0,0.0,26390929.27974843,50860515.60521614,3065550.731297122
4,0.0,0.0,30946866.771397218,51785678.91796255,3134146.10903587
5,0.0,0.0,35449893.011654235,52516819.666241266,3205286.096489376
6,0.0,0.0,39741776.051133655,52953210.966337375,3254401.740970176
7,0.0,0.0,43729487.21964725,53430124.873519525,3305278.1796668316
8,0.0,0.0,47361237.06936608,53946206.72758117,3357074.278881524
9,35.77336647392186,1608.5494234998966,50600416.035914555,54481066.618069254,3406566.9312719516
10,115082.61908141401,19367355.551801708,30733711.543734252,56207091.57109335,2444618.104733374
