period,oha,ohv,ogs
1,12500.641096301313,965575.0000000001,16882839.184362877
2,11875.609041486248,1013853.7500000001,19589858.320484005
3,11875.609041486245,1013853.75,22504531.433782656
4,11875.609041486232,1013853.7500000001,25551810.68064472
5,11875.609041486246,1013853.7500000002,28410125.22081665
6,11875.609041486246,1013853.7500000002,30962769.395463943
7,11875.609041486248,1013853.75,33141298.846532688
8,13125.673151116378,1013853.7500000002,34946277.49319748
9,13125.67315111638,1013853.7500000003,36457673.949336894
10,13125.673151116378,1013853.7499999998,37745563.4029961
